DESPACHO CIFRADO;OPERACION;DESTINACION;REGIMEN;OFICIALIZACION;CANCELACION;AÑO;MES;ADUANA;COTIZACION;MEDIO TRANSPORTE;CANAL;ITEM;PAIS ORIGEN;PAIS PROCEDENCIA/DESTINO;USO;UNIDAD MEDIDA ESTADISTICA;CANTIDAD ESTADISTICA;KILO NETO;KILO BRUTO;FOB DOLAR;FLETE DOLAR;SEGURO DOLAR;IMPONIBLE DOLAR;IMPONIBLE GS;AJUSTE A INCLUIR;AJUSTE A DEDUCIR;POSICION;RUBRO;DESC CAPITULO;DESC POSICION;DESC PARTIDA;MERCADERIA;MARCA ITEM;ACUERDO;DERECHO;ISC;SERVICIO;RENTA;IVA;OTROS;TOTAL
"24DA000000555939";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"28/11/2024";"02/12/2024";"2024";"DICIEMBRE";"SANTA HELENA";7811.63;"CAMION";"V";1;"PARAGUAY";"BRASIL";"NUEVO";"KILOGRAMO";5000000;32640;32640;5320.32;522.24;0;5840.07;45620461.25;0;0;"1005.90.10.000N";"CEREALES (TRIGO, ARROZ, MAIZ Y SORGO)";"CAPITULO 10  CEREALES";"CAPITULO 10  CEREALES  MAIZ.    -Los dem¿s.       En grano";"MAIZ. ";"MAIZ PARAGUAYO AMARILLO EN GRANOS A GRANEL, SAFRA: 2024.-";"SIN MARCA";"MERCOSUR";0;0;0;0;0;0;0
"24DA000000555940";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"V";1;"PARAGUAY";"URUGUAY";"NUEVO";"KILOGRAMO";330000;21970;21970;3844.75;834.86;0;4697.19;36628851.74;0;0;"1005.90.10.000N";"CEREALES (TRIGO, ARROZ, MAIZ Y SORGO)";"CAPITULO 10  CEREALES";"CAPITULO 10  CEREALES  MAIZ.    -Los dem¿s.       En grano";"MAIZ. ";"MAIZ PARAGUAYO AMARILLO EN GRANOS A GRANEL, SIN MARCA.-";"SIN MARCA";"MERCOSUR";0;0;0;0;0;0;0
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";5;"JAPON";"CHILE";"USADO";"UNIDAD";1;1610;1610;3319;363.14;33;3715.14;28970810.3256;0;0;"8703.23.10.900U";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.500 cm3. pero\n  inferior o igual a 3.000 cm3.\n     Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND AUTOMOVIL MODELO CROWN A¿O 2008 COLOR PLATEADO";"TOYOTA";"SIN ACUERDO";4345622;0;144854;0;3346129;133845;7970450
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";7;"JAPON";"CHILE";"USADO";"UNIDAD";1;1640;1640;4137;304.78;41;4482.78;34956897.7512;0;0;"8703.23.90.900X";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.500 cm3. pero\n  inferior o igual a 3.000 cm3.\n     Los dem¿s        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND STATION WAGON MODELO VOXY A¿O 2008 COLOR BLANCO PERLA";"TOYOTA";"SIN ACUERDO";5243535;0;174784;0;4037522;161501;9617342
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";4;"JAPON";"CHILE";"USADO";"UNIDAD";1;1140;1140;2121;246.42;21;2388.42;18624994.6968;0;0;"8703.22.90.900K";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.000 cm3. pero\n  inferior o igual a 1.500 cm3.     Los dem¿s        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND STATION WAGON MODELO RACTIS A¿O 2006 COLOR PLATEADO";"TOYOTA";"SIN ACUERDO";3724999;0;93125;0;2244312;89772;6152208
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";8;"ALEMANIA";"CHILE";"USADO";"UNIDAD";1;2060;2060;9793;778.16;98;10669.16;83198536.4464;0;0;"8703.32.10.000X";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. - Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi-Di¿sel)  - Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi-Di¿sel) --De cilindrada superior a 1.500 cm3. pero    \n  inferior o igual a 2.500 cm3  --- Con capacidad de transporte de personas sentadas inferior o igual a 6, incluido el conductor  Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. - Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi-Di¿sel)";"1 UND AUTOMOVIL MODELO C220 CDI A¿O 2012 COLOR BLANCO";"MERCEDES BENZ";"SIN ACUERDO";20799634;0;415993;0;10441416;417657;32074700
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";11;"JAPON";"CHILE";"USADO";"UNIDAD";1;1100;1100;2756;272.34;28;3056.34;23833461.5736;0;0;"8703.22.10.900G";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.000 cm3. pero\n  inferior o igual a 1.500 cm3.     Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND AUTOMOVIL MODELO ALLION A¿O 2004 COLOR BLANCO";"TOYOTA";"SIN ACUERDO";4766692;0;119167;0;2871932;114877;7872668
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";3;"JAPON";"CHILE";"USADO";"UNIDAD";1;1090;1090;3658;415.02;37;4110.02;32050100.3608;0;0;"8703.22.90.900K";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.000 cm3. pero\n  inferior o igual a 1.500 cm3.     Los dem¿s        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND STATION WAGON MODELO RACTIS A¿O 2011 COLOR PLATEADO";"TOYOTA";"SIN ACUERDO";6410020;0;160251;0;3862037;154481;10586789
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";6;"JAPON";"CHILE";"USADO";"UNIDAD";1;1630;1630;3688;427.99;37;4152.99;32385182.1396;0;0;"8703.23.10.900U";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.500 cm3. pero\n  inferior o igual a 3.000 cm3.\n     Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND AUTOMOVIL MODELO CROWN A¿O 2009 COLOR BLANCO PERLA";"TOYOTA";"SIN ACUERDO";4857777;0;161926;0;3740489;149620;8909812
"24DA000000555941";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"02/12/2024";"02/12/2024";"2024";"DICIEMBRE";"ENCARNACION";7798.04;"CAMION";"R";10;"JAPON";"CHILE";"USADO";"UNIDAD";1;1240;1240;2480;272.35;25;2777.35;21657886.394;0;0;"8703.22.10.900G";"VEHICULOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS";"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n --De cilindrada superior a 1.000 cm3. pero\n  inferior o igual a 1.500 cm3.     Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor        Los dem¿s";"AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (\"BREAK\" O \"STATION WAGON\") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n)\n alternativo, de encendido por chispa:\n";"1 UND AUTOMOVIL MODELO AURIS A¿O 2007 COLOR PLATEADO";"TOYOTA";"SIN ACUERDO";4331577;0;108289;0;2609775;104391;7154032
